SMILES,PID,Polymer Class
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,P030085,Other polymers
*C(F)(F)C(*)(OC(F)(F)F)OC(F)(F)F,P030086,Other polymers
*C(OC(F)(F)F)C(*)(F)F,P030087,Other polymers
*C(F)C(*)(F)OC(F)(F)F,P030088,Other polymers
*C(F)(F)C(*)(F)OC(F)(F)F,P030089,Other polymers
*CC(*)OCC(C)(C)CC,P030091,Polyvinyls
*CC(*)SC,P030092,Polyvinyls
*CC(*)OCCCCCCCC,P030093,Polyvinyls
*CC(*)OCCC,P030094,Polyvinyls
*CC(*)(F)C(C)=O,P030095,Other polymers
*CC(*)C(=O)c1ccccc1,P030096,Polyvinyls
*CC(*)C(=O)c1ccc(Br)c(OC)c1,P030097,Polyvinyls
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,P030098,Polyvinyls
*CC(*)C(=O)c1ccc(Cl)cc1,P030099,Polyvinyls
*CC(*)C(=O)c1ccc(CC)cc1,P030100,Polyvinyls
*CC(*)C(=O)c1ccc(C(C)C)cc1,P030101,Polyvinyls
*CC(*)C(=O)c1ccc(OC)cc1,P030102,Polyvinyls
*CC(*)C(=O)c1ccc(C)c(C)c1,P030103,Polyvinyls
*CC(*)C(=O)c1ccc(CCC)cc1,P030104,Polyvinyls
*CC(*)C(=O)c1ccc(C)cc1,P030105,Polyvinyls
*CC(*)OC(=O)c1ccccc1OC(C)=O,P030107,Polyvinyls
*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,P030108,Polyvinyls
*CC(*)OC(=O)CCCC(=O)c1ccccc1,P030109,Polyvinyls
*CC(*)OC(=O)c1cccc(Br)c1,P030110,Polyvinyls
*CC(*)OC(=O)c1ccc(Br)cc1,P030111,Polyvinyls
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,P030112,Polyvinyls
*CC(*)OC(=O)c1ccccc1Cl,P030113,Polyvinyls
*CC(*)OC(=O)c1cccc(Cl)c1,P030114,Polyvinyls
*CC(*)OC(=O)c1ccc(Cl)cc1,P030115,Polyvinyls
*CC(*)OC(=O)C1CCCCC1,P030116,Polyvinyls
*CC(*)OC(=O)CC1CCCCC1,P030117,Polyvinyls
*CC(*)OC(=O)CCCC1CCCCC1,P030118,Polyvinyls
*CC(*)OC(=O)c1ccc(OCC)cc1,P030120,Polyvinyls
*CC(*)OC(=O)c1ccc(CC)cc1,P030121,Polyvinyls
*CC(*)OC(=O)C(C)(CC)C(C)(C)C,P030122,Polyvinyls
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,P030123,Polyvinyls
*CC(*)OC(=O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,P030124,Polyvinyls
*CC(*)NC(=O)OC(C)(C)C,P030125,Polyvinyls
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P030126,Polyvinyls
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P030127,Polyvinyls
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P030128,Polyvinyls
*CC(*)OC(=O)C(F)(F)C(F)(F)F,P030129,Polyvinyls
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,P030130,Polyvinyls
*CC(*)OC(=O)c1ccncc1,P030131,Polyvinyls
*CC(*)OC(=O)c1ccc(C(C)C)cc1,P030132,Polyvinyls
*CC(*)OC(=O)C(C)(C(C)C)C(C)C,P030133,Polyvinyls
*CC(*)OC(=O)c1ccccc1OC,P030134,Polyvinyls
*CC(*)OC(=O)c1cccc(OC)c1,P030135,Polyvinyls
*CC(*)OC(=O)c1ccc(OC)cc1,P030136,Polyvinyls
*CC(*)OC(=O)c1ccccc1C,P030137,Polyvinyls
*CC(*)OC(=O)c1cccc(C)c1,P030138,Polyvinyls
*CC(*)OC(=O)c1ccc(C)cc1,P030139,Polyvinyls
